,,,,,,,,,,,
,Name[s],Daniel K & Julie T,,,,,,,,,
,Date,8/10/2015,,,,,,,,,
,Location,Rogers Ave & Midwood St,,,,,,,,,
,Direction,North,,,,,,,,,
,Weather,Sunny,,,,,,,,,
,Speed Limit,25,,,,,,,,,
,,,,,,,,,,,
,Vehicle,Time,Speed,,Vehicle,Time,Speed,,Vehicle,Time,Speed
,1,6:56,44,,1,7:16,38,,1,7:31,31
,2,6:57,32,,2,7:16,37,,2,7:31,28
,3,6:57,43,,3,7:16,34,,3,7:32,36
,4,6:59,29,,4,7:17,29,,4,7:32,32
,5,7:00,41,,5,7:17,30,,5,7:32,29
,6,7:00,29,,6,7:17,39,,6,7:33,30
,7,7:00,39,,7,7:17,43,,7,7:33,35
,8,7:00,42,,8,7:17,24,,8,7:33,48
,9,7:00,26,,9,7:17,38,,9,7:35,27
,10,7:00,28,,10,7:18,27,,10,7:35,29
,11,7:01,30,,11,7:18,37,,11,7:35,27
,12,7:01,32,,12,7:18,33,,12,7:35,35
,13,7:01,34,,13,7:18,34,,13,7:35,33
,14,7:01,32,,14,7:18,33,,14,7:36,39
,15,7:02,30,,15,7:18,40,,15,7:36,25
,16,7:02,29,,16,7:19,35,,16,7:36,36
,17,7:03,37,,17,7:20,23,,17,7:37,39
,18,7:03,36,,18,7:20,26,,18,7:37,34
,19,7:04,34,,19,7:20,32,,19,7:37,27
,20,7:04,28,,20,7:20,39,,20,7:38,26
,21,7:05,30,,21,7:20,41,,21,7:38,33
,22,7:05,27,,22,7:21,42,,22,7:39,24
,23,7:05,45,,23,7:23,30,,23,7:39,45
,24,7:06,29,,24,7:23,31,,24,7:40,29
,25,7:06,45,,25,7:23,32,,25,7:40,15
,26,7:06,36,,26,7:23,30,,26,7:40,30
,27,7:06,39,,27,7:24,29,,27,7:41,30
,28,7:07,30,,28,7:24,34,,28,7:41,28
,29,7:08,38,,29,7:24,34,,29,7:41,29
,30,7:08,35,,30,7:25,30,,30,7:41,30
,31,7:09,36,,31,7:25,25,,31,7:42,22
,32,7:10,22,,32,7:25,23,,32,7:43,40
,33,7:10,28,,33,7:26,23,,33,7:43,28
,34,7:10,28,,34,7:26,18,,34,7:44,27
,35,7:10,30,,35,7:26,38,,35,7:44,37
,36,7:11,37,,36,7:26,30,,36,7:45,32
,37,7:11,29,,37,7:28,25,,37,7:45,34
,38,7:11,34,,38,7:28,34,,38,7:45,35
,39,7:11,34,,39,7:29,33,,39,7:45,37
,40,7:12,21,,40,7:29,27,,40,7:45,35
