,,,,,,,,,,,
,Name[s],Daniel K & Amanda M,,,,,,,,,
,Date,8/11/2015,,,,,,,,,
,Location,Rogers Ave & Midwood St,,,,,,,,,
,Direction,North,,,,,,,,,
,Weather,"Rainy 5:03-5:49, Sunny 5:49-7:00",,,,,,,,,
,Speed Limit,25,,,,,,,,,
,,,,,,,,,,,
,Vehicle,Time,Speed,,Vehicle,Time,Speed,,Vehicle,Time,Speed
,1,17:03,25,,1,17:25,26,,1,17:49,32
,2,17:03,34,,2,17:25,31,,2,17:49,31
,3,17:03,29,,3,17:25,29,,3,17:49,
,4,17:04,29,,4,17:26,29,,4,17:51,29
,5,17:06,28,,5,17:27,24,,5,17:51,38
,6,17:06,23,,6,17:27,39,,6,17:51,38
,7,17:06,26,,7,17:27,31,,7,17:52,39
,8,17:07,25,,8,17:28,25,,8,17:53,29
,9,17:07,29,,9,17:28,27,,9,17:53,27
,10,17:07,22,,10,17:28,32,,10,17:53,36
,11,17:08,27,,11,17:29,32,,11,17:54,35
,12,17:08,31,,12,17:29,38,,12,17:55,26
,13,17:09,31,,13,17:30,30,,13,17:55,53
,14,17:09,35,,14,17:30,30,,14,17:55,40
,15,17:09,28,,15,17:30,32,,15,17:56,32
,16,17:10,27,,16,17:31,40,,16,17:57,27
,17,17:10,27,,17,17:31,40,,17,17:57,28
,18,17:10,28,,18,17:32,28,,18,17:57,40
,19,17:11,30,,19,17:32,33,,19,17:58,33
,20,17:11,30,,20,17:32,35,,20,17:59,28
,21,17:11,30,,21,17:33,37,,21,17:59,28
,22,17:12,29,,22,17:35,28,,22,17:59,35
,23,17:13,24,,23,17:35,26,,23,18:00,36
,24,17:13,27,,24,17:36,24,,24,18:00,34
,25,17:13,33,,25,17:36,29,,25,18:01,29
,26,17:14,36,,26,17:37,23,,26,18:01,40
,27,17:14,33,,27,17:37,21,,27,18:01,29
,28,17:15,29,,28,17:38,35,,28,18:03,25
,29,17:15,24,,29,17:38,26,,29,18:03,32
,30,17:15,46,,30,17:38,27,,30,18:03,
,31,17:15,31,,31,17:38,29,,31,18:05,39
,32,17:16,33,,32,17:39,27,,32,18:05,37
,33,17:16,33,,33,17:39,37,,33,18:06,33
,34,17:17,26,,34,17:39,35,,34,18:07,30
,35,17:17,36,,35,17:40,40,,35,18:07,37
,36,17:17,32,,36,17:41,37,,36,18:07,28
,37,17:17,34,,37,17:41,32,,37,18:07,38
,38,17:17,28,,38,17:41,29,,38,18:08,34
,39,17:18,36,,39,17:43,35,,39,18:09,28
,40,17:19,25,,40,17:43,28,,40,18:09,30
,41,17:19,29,,41,17:44,29,,41,18:09,40
,42,17:19,29,,42,17:45,29,,42,18:09,40
,43,17:21,24,,43,17:45,31,,43,18:11,25
,44,17:21,22,,44,17:45,34,,44,18:11,31
,45,17:21,34,,45,17:46,46,,45,18:11,49
,46,17:22,36,,46,17:47,35,,46,18:12,40
,47,17:23,28,,47,17:47,34,,47,18:12,30
,48,17:23,27,,48,17:47,25,,48,18:13,29
,49,17:23,28,,49,17:47,38,,49,18:13,32
,50,17:24,34,,50,17:49,34,,50,18:13,35
,,,,,,,,,,,
,,,,,,,,,,,
,Vehicle,Time,Speed,,Vehicle,Time,Speed,,Vehicle,Time,Speed
,1,18:15,36,,1,18:38,30,,1,5:56,37
,2,18:15,32,,2,18:38,27,,2,5:56,36
,3,18:15,40,,3,18:40,31,,3,5:56,26
,4,18:16,27,,4,18:40,32,,4,5:56,24
,5,18:17,38,,5,18:41,24,,5,5:57,33
,6,18:17,27,,6,18:41,30,,6,5:57,27
,7,18:17,46,,7,18:41,33,,7,5:57,26
,8,18:19,25,,8,18:41,30,,8,5:57,28
,9,18:19,26,,9,18:42,35,,9,5:58,29
,10,18:20,33,,10,18:42,34,,10,5:58,31
,11,18:21,28,,11,18:42,33,,11,5:58,32
,12,18:21,25,,12,18:43,26,,12,5:58,26
,13,18:22,26,,13,18:43,21,,13,6:59,28
,14,18:23,27,,14,18:43,25,,14,6:59,38
,15,18:24,33,,15,18:43,23,,15,6:59,28
,16,18:24,34,,16,18:44,37,,16,6:59,35
,17,18:24,28,,17,18:44,30,,17,7:00,33
,18,18:24,38,,18,18:44,25,,18,7:00,42
,19,18:25,31,,19,18:45,30,,19,7:00,30
,20,18:25,34,,20,18:45,34,,20,7:00,38
,21,18:26,29,,21,18:45,36,,21,,
,22,18:27,24,,22,18:45,30,,22,,
,23,18:27,30,,23,18:46,28,,23,,
,24,18:27,27,,24,18:46,27,,24,,
,25,18:27,23,,25,18:47,33,,25,,
,26,18:28,27,,26,18:47,27,,26,,
,27,18:29,19,,27,18:47,36,,27,,
,28,18:29,43,,28,18:47,35,,28,,
,29,18:29,26,,29,18:48,38,,29,,
,30,18:29,34,,30,18:48,27,,30,,
,31,18:30,22,,31,18:49,49,,31,,
,32,18:30,24,,32,18:49,24,,32,,
,33,18:31,30,,33,18:49,19,,33,,
,34,18:31,28,,34,18:49,26,,34,,
,35,18:31,26,,35,18:50,29,,35,,
,36,18:31,39,,36,18:51,26,,36,,
,37,18:32,30,,37,18:51,23,,37,,
,38,18:33,28,,38,18:51,23,,38,,
,39,18:33,31,,39,18:51,32,,39,,
,40,18:33,28,,40,18:52,27,,40,,
,41,18:33,41,,41,18:53,33,,41,,
,42,18:34,39,,42,18:53,25,,42,,
,43,18:34,32,,43,18:53,29,,43,,
,44,18:35,27,,44,18:53,28,,44,,
,45,18:35,35,,45,18:54,30,,45,,
,46,18:35,49,,46,18:54,35,,46,,
,47,18:36,26,,47,18:55,28,,47,,
,48,18:36,33,,48,18:55,28,,48,,
,49,18:37,27,,49,18:55,29,,49,,
,50,18:37,29,,50,18:55,34,,50,,
,,,,,,,,,,,
,,,,,,,,,,,
,Vehicle,Time,Speed,,Vehicle,Time,Speed,,Vehicle,Time,Speed
,1,,,,1,,,,1,,
,2,,,,2,,,,2,,
,3,,,,3,,,,3,,
,4,,,,4,,,,4,,
,5,,,,5,,,,5,,
,6,,,,6,,,,6,,
,7,,,,7,,,,7,,
,8,,,,8,,,,8,,
,9,,,,9,,,,9,,
,10,,,,10,,,,10,,
,11,,,,11,,,,11,,
,12,,,,12,,,,12,,
,13,,,,13,,,,13,,
,14,,,,14,,,,14,,
,15,,,,15,,,,15,,
,16,,,,16,,,,16,,
,17,,,,17,,,,17,,
,18,,,,18,,,,18,,
,19,,,,19,,,,19,,
,20,,,,20,,,,20,,
,21,,,,21,,,,21,,
,22,,,,22,,,,22,,
,23,,,,23,,,,23,,
,24,,,,24,,,,24,,
,25,,,,25,,,,25,,
,26,,,,26,,,,26,,
,27,,,,27,,,,27,,
,28,,,,28,,,,28,,
,29,,,,29,,,,29,,
,30,,,,30,,,,30,,
,31,,,,31,,,,31,,
,32,,,,32,,,,32,,
,33,,,,33,,,,33,,
,34,,,,34,,,,34,,
,35,,,,35,,,,35,,
,36,,,,36,,,,36,,
,37,,,,37,,,,37,,
,38,,,,38,,,,38,,
,39,,,,39,,,,39,,
,40,,,,40,,,,40,,
,41,,,,41,,,,41,,
,42,,,,42,,,,42,,
,43,,,,43,,,,43,,
,44,,,,44,,,,44,,
,45,,,,45,,,,45,,
,46,,,,46,,,,46,,
,47,,,,47,,,,47,,
,48,,,,48,,,,48,,
,49,,,,49,,,,49,,
,50,,,,50,,,,50,,
