,,,,,,,,,,,
,Name[s],Jeanne Ebiri,,,,,,,,,
,Date,8/12/2015,,,,,,,,,
,Location,Rogers Ave & Midwood St,,,,,,,,,
,Direction,North,,,,,,,,,
,Weather,clear & sunny,,,,,,,,,
,Speed Limit,25,,,,,,,,,
,,,,,,,,,,,
,Vehicle,Time,Speed,,Vehicle,Time,Speed,,Vehicle,Time,Speed
,1,12:00,29,,1,12:00,18,,1,12:00,16
,2,12:00,24,,2,12:00,19,,2,12:55,35
,3,12:00,17,,3,12:00,29,,3,,
,4,12:00,12,,4,12:00,21,,4,,
,5,12:00,14,,5,12:00,19,,5,,
,6,12:00,17,,6,12:00,22,,6,,
,7,12:00,12,,7,12:00,19,,7,,
,8,12:00,14,,8,12:00,20,,8,,
,9,12:00,17,,9,12:00,16,,9,,
,10,12:00,21,,10,12:00,23,,10,,
,11,12:00,15,,11,12:00,33,,11,,
,12,12:00,26,,12,12:00,21,,12,,
,13,12:00,15,,13,12:00,20,,13,,
,14,12:00,27,,14,12:00,20,,14,,
,15,12:00,22,,15,12:00,20,,15,,
,16,12:00,23,,16,12:00,19,,16,,
,17,12:00,22,,17,12:00,19,,17,,
,18,12:00,23,,18,12:00,16,,18,,
,19,12:00,15,,19,12:00,17,,19,,
,20,12:00,18,,20,12:00,16,,20,,
,21,12:00,19,,21,12:00,19,,21,,
,22,12:00,21,,22,12:00,21,,22,,
,23,12:00,23,,23,12:00,23,,23,,
,24,12:00,17,,24,12:00,19,,24,,
,25,12:00,14,,25,12:00,19,,25,,
,26,12:00,18,,26,12:00,18,,26,,
,27,12:00,16,,27,12:00,16,,27,,
,28,12:00,43,,28,12:00,27,,28,,
,29,12:00,20,,29,12:00,25,,29,,
,30,12:00,15,,30,12:00,16,,30,,
,31,12:00,21,,31,12:00,26,,31,,
,32,12:00,17,,32,12:00,26,,32,,
,33,12:00,32,,33,12:00,16,,33,,
,34,12:00,22,,34,12:00,19,,34,,
,35,12:00,21,,35,12:00,18,,35,,
,36,12:00,17,,36,12:00,18,,36,,
,37,12:00,32,,37,12:00,28,,37,,
,38,12:00,22,,38,12:00,33,,38,,
,39,12:00,19,,39,12:00,21,,39,,
,40,12:00,14,,40,12:00,13,,40,,
,41,12:00,25,,41,12:00,16,,41,,
,42,12:00,23,,42,12:00,18,,42,,
,43,12:00,18,,43,12:00,14,,43,,
,44,12:00,25,,44,12:00,22,,44,,
,45,12:00,20,,45,12:00,25,,45,,
,46,12:00,19,,46,12:00,23,,46,,
,47,12:00,21,,47,12:00,27,,47,,
,48,12:00,19,,48,12:00,15,,48,,
,49,12:00,17,,49,12:00,14,,49,,
,50,12:00,21,,50,12:00,14,,50,,
,,,,,,,,,,,
,,,,,,,,,,,
,Vehicle,Time,Speed,,Vehicle,Time,Speed,,Vehicle,Time,Speed
,1,,,,1,,,,1,,
,2,,,,2,,,,2,,
,3,,,,3,,,,3,,
,4,,,,4,,,,4,,
,5,,,,5,,,,5,,
,6,,,,6,,,,6,,
,7,,,,7,,,,7,,
,8,,,,8,,,,8,,
,9,,,,9,,,,9,,
,10,,,,10,,,,10,,
,11,,,,11,,,,11,,
,12,,,,12,,,,12,,
,13,,,,13,,,,13,,
,14,,,,14,,,,14,,
,15,,,,15,,,,15,,
,16,,,,16,,,,16,,
,17,,,,17,,,,17,,
,18,,,,18,,,,18,,
,19,,,,19,,,,19,,
,20,,,,20,,,,20,,
,21,,,,21,,,,21,,
,22,,,,22,,,,22,,
,23,,,,23,,,,23,,
,24,,,,24,,,,24,,
,25,,,,25,,,,25,,
