,,,,,,,,,,,
,Name[s],Amanda Meth,,,,,,,,,
,Date,8/12/2015,,,,,,,,,
,Location,Rogers Ave & Midwood St,,,,,,,,,
,Direction,North,,,,,,,,,
,Weather,mild,,,,,,,,,
,Speed Limit,25,,,,,,,,,
,,,,,,,,,,,
,Vehicle,Time,Speed,,Vehicle,Time,Speed,,Vehicle,Time,Speed
,1,5:00,19,,1,5:31,26,,1,5:50,33
,2,5:00,22,,2,5:33,33,,2,5:51,26
,3,5:00,21,,3,5:33,28,,3,5:51,34
,4,5:00,18,,4,5:33,29,,4,5:52,26
,5,5:00,18,,5,5:34,33,,5,5:52,29
,6,5:02,18,,6,5:35,38,,6,5:52,29
,7,5:02,18,,7,5:35,26,,7,5:52,31
,8,5:03,23,,8,5:35,34,,8,5:53,30
,9,5:03,30,,9,5:36,24,,9,5:55,19
,10,5:03,34,,10,5:36,20,,10,5:55,32
,11,5:03,32,,11,5:36,24,,11,5:55,37
,12,5:03,34,,12,5:37,30,,12,5:57,25
,13,5:03,31,,13,5:37,36,,13,5:57,27
,14,5:05,20,,14,5:37,38,,14,5:57,28
,15,5:05,26,,15,5:38,29,,15,5:57,31
,16,5:05,32,,16,5:38,32,,16,5:58,27
,17,5:05,26,,17,5:38,33,,17,5:58,24
,18,5:07,17,,18,5:39,22,,18,5:58,22
,19,5:07,22,,19,5:40,19,,19,5:58,32
,20,5:07,23,,20,5:40,16,,20,5:58,29
,21,5:07,28,,21,5:40,19,,21,6:00,26
,22,5:09,34,,22,5:41,25,,22,6:00,23
,23,5:09,30,,23,5:41,28,,23,6:00,25
,24,5:09,24,,24,5:41,27,,24,6:01,28
,25,5:09,27,,25,5:41,25,,25,6:01,28
,26,5:09,40,,26,5:41,25,,26,6:01,26
,27,5:11,37,,27,5:42,20,,27,6:02,25
,28,5:11,28,,28,5:42,25,,28,6:02,21
,29,5:11,29,,29,5:42,23,,29,6:02,28
,30,5:11,28,,30,5:43,23,,30,6:05,29
,31,5:23,18,,31,5:43,24,,31,6:05,24
,32,5:23,18,,32,5:43,18,,32,6:05,21
,33,5:23,28,,33,5:44,28,NYPD,33,6:05,32
,34,5:24,29,,34,5:45,33,,34,6:05,27
,35,5:24,26,,35,5:45,27,,35,6:05,26
,36,5:25,36,,36,5:45,28,,36,6:07,35
,37,5:25,33,,37,5:46,26,,37,6:07,32
,38,5:25,27,,38,5:46,27,,38,6:07,29
,39,5:26,27,,39,5:46,30,,39,6:08,30
,40,5:26,19,,40,5:47,24,,40,6:08,30
,41,5:26,26,,41,5:47,21,,41,6:10,31
,42,5:26,26,,42,5:47,25,,42,6:10,34
,43,5:28,38,,43,5:48,38,,43,6:10,30
,44,5:29,27,,44,5:48,30,,44,6:10,31
,45,5:29,27,,45,5:48,29,,45,6:13,23
,46,5:29,47,,46,5:49,35,,46,6:13,27
,47,5:29,30,,47,5:49,27,,47,6:13,22
,48,5:31,40,,48,5:49,34,,48,6:14,40
,49,5:31,28,,49,5:50,39,,49,6:15,26
,50,5:31,23,,50,5:50,35,,50,6:15,27
,,,,,,,,,,,
,,,,,,,,,,,
,Vehicle,Time,Speed,,Vehicle,Time,Speed,,Vehicle,Time,Speed
,1,6:16,24,,1,6:33,26,,1,6:53,35
,2,6:16,32,,2,6:34,29,,2,6:53,33
,3,6:16,30,,3,6:34,21,,3,6:53,32
,4,6:16,27,,4,6:34,22,,4,6:53,31
,5,6:16,30,,5,6:35,30,,5,6:53,31
,6,6:16,40,,6,6:35,32,,6,6:55,32
,7,6:16,39,,7,6:35,32,,7,6:55,29
