,,,,,,,,,,,
,Name[s],Julie T & Brendan & Paco,,,,,,,,,
,Date,8/12/2015,,,,,,,,,
,Location,Rogers Ave & Midwood St,,,,,,,,,
,Direction,North,,,,,,,,,
,Weather,Sunny,,,,,,,,,
,Speed Limit,25,,,,,,,,,
,,,,,,,,,,,
,Vehicle,Time,Speed,,Vehicle,Time,Speed,,Vehicle,Time,Speed
,1,7:00,20,,1,7:18,20,,1,7:35,31
,2,7:00,27,,2,7:18,27,,2,7:35,47
,3,7:01,4,,3,7:18,24,,3,7:35,42
,4,7:01,33,,4,7:18,25,,4,7:35,29
,5,7:01,35,,5,7:19,27,,5,7:35,30
,6,7:02,30,,6,7:19,29,,6,7:35,40
,7,7:03,33,,7,7:19,30,,7,7:37,43
,8,7:04,30,,8,7:19,32,,8,7:37,40
,9,7:05,27,,9,7:19,29,,9,7:37,37
,10,7:07,38,,10,7:19,27,,10,7:37,40
,11,7:07,29,,11,7:19,30,,11,7:37,45
,12,7:07,35,,12,7:19,24,,12,7:37,30
,13,7:07,31,,13,7:20,20,,13,7:40,32
,14,7:07,40,,14,7:20,21,,14,7:40,38
,15,7:07,26,,15,7:20,20,,15,7:40,42
,16,7:08,15,,16,7:20,25,,16,7:40,40
,17,7:08,18,,17,7:20,30,,17,7:40,32
,18,7:09,46,,18,7:20,32,,18,7:40,32
,19,7:10,37,,19,7:21,37,,19,7:40,36
,20,7:10,30,,20,7:21,24,,20,7:41,32
,21,7:11,29,,21,7:24,34,,21,7:41,32
,22,7:11,26,,22,7:24,34,,22,7:43,33
,23,7:11,25,,23,7:24,38,,23,7:45,30
,24,7:12,26,,24,7:24,29,,24,7:45,30
,25,7:12,18,,25,7:25,43,,25,7:45,38
,26,7:12,24,,26,7:26,25,,26,7:45,33
,27,7:12,34,,27,7:27,28,,27,7:45,28
,28,7:12,30,,28,7:27,31,,28,7:45,33
,29,7:12,27,,29,7:27,35,,29,7:45,36
,30,7:13,28,,30,7:27,29,,30,7:45,30
,31,7:13,34,,31,7:27,25,,31,7:45,25
,32,7:13,27,,32,7:27,28,,32,7:46,32
,33,7:13,37,,33,7:28,34,,33,7:46,33
,34,7:13,46,,34,7:28,29,,34,7:46,30
,35,7:15,22,,35,7:29,32,,35,7:47,26
,36,7:15,26,,36,7:29,31,,36,7:48,39
,37,7:15,26,,37,7:29,38,,37,7:48,34
,38,7:15,27,,38,7:29,35,,38,7:48,33
,39,7:16,17,,39,7:30,37,,39,7:48,36
,40,7:16,20,,40,7:30,22,,40,7:48,37
,41,7:16,34,,41,7:31,17,,41,7:48,39
,42,7:16,32,,42,7:31,28,,42,7:48,45
,43,7:16,30,,43,7:31,38,,43,7:49,35
,44,7:17,28,,44,7:31,25,,44,7:49,32
,45,7:17,30,,45,7:32,25,,45,7:52,37
,46,7:17,34,,46,7:32,32,,46,7:52,29
,47,7:17,35,,47,7:32,42,,47,7:52,40
,48,7:17,31,,48,7:33,26,,48,7:52,24
,49,7:17,34,,49,7:33,42,,49,7:52,36
,50,7:17,30,,50,7:35,38,,50,7:53,42
,,,,,,,,,,,
,,,,,,,,,,,
,Vehicle,Time,Speed,,Vehicle,Time,Speed,,Vehicle,Time,Speed
,1,7:53,34,,1,8:09,29,,1,8:21,28
,2,7:55,41,,2,8:09,30,,2,8:21,34
,3,7:55,34,,3,8:09,31,,3,8:21,32
,4,7:56,43,,4,8:10,30,,4,8:21,55
,5,7:56,39,,5,8:10,24,,5,8:21,26
,6,7:57,33,,6,8:11,32,,6,8:21,37
,7,7:57,47,,7,8:11,32,,7,8:21,28
