,,,,,,,,,,,
,Name[s],Jessica Stander,,,,,,,,,
,Date,8/14/2015,,,,,,,,,
,Location,Rogers Ave & Midwood St,,,,,,,,,
,Direction,North,,,,,,,,,
,Weather,Sunny & hot,,,,,,,,,
,Speed Limit,25,,,,,,,,,
,,,,,,,,,,,
,Vehicle,Time,Speed,,Vehicle,Time,Speed,,Vehicle,Time,Speed
,1,5:23,32,,1,5:31,28,,1,5:38,26
,2,5:23,28,,2,5:31,28,,2,5:38,30
,3,5:23,25,,3,5:31,28,,3,5:38,26
,4,5:23,19,,4,5:31,27,,4,5:38,25
,5,5:23,27,,5,5:31,27,,5,5:38,27
,6,5:23,28,,6,5:31,26,,6,5:38,19
,7,5:25,32,,7,5:31,24,,7,5:38,28
,8,5:25,30,,8,5:31,25,,8,5:38,29
,9,5:25,27,,9,5:31,25,,9,5:38,29
,10,5:25,26,,10,5:31,34,,10,5:39,36
,11,5:25,33,,11,5:32,17,,11,5:39,31
,12,5:27,41,,12,5:32,20,,12,5:39,30
,13,5:27,28,,13,5:32,22,,13,5:39,29
,14,5:27,27,,14,5:32,22,,14,5:39,30
,15,5:27,37,,15,5:32,36,,15,5:39,30
,16,5:27,26,,16,5:32,21,,16,5:39,31
,17,5:27,17,,17,5:32,22,,17,5:49,30
,18,5:27,23,,18,5:32,28,,18,5:49,29
,19,5:27,17,,19,5:32,24,,19,5:49,28
,20,5:27,30,,20,5:33,22,,20,5:49,23
,21,5:27,25,,21,5:34,23,,21,5:49,31
,22,5:27,29,,22,5:34,37,,22,5:49,33
,23,5:27,28,,23,5:34,34,,23,5:49,33
,24,5:27,29,,24,5:34,35,,24,5:49,32
,25,5:27,27,,25,5:34,31,,25,5:51,31
,26,5:27,26,,26,5:35,36,,26,5:51,30
,27,5:28,17,,27,5:35,38,,27,5:51,27
,28,5:28,29,,28,5:35,30,,28,5:51,32
,29,5:28,27,,29,5:35,30,,29,5:51,28
,30,5:29,27,,30,5:35,45,,30,5:51,29
,31,5:29,36,,31,5:35,27,,31,5:51,30
,32,5:29,27,,32,5:35,35,,32,5:52,27
