,,,,,,,,,,,
,Name[s],Jessica,,,,,,,,,
,Date,8/20/2015,6-7am,,,,,,,,
,Location,Rogers Ave & Midwood St,,,,,,,,,
,Direction,North,,,,,,,,,
,Weather,,,,,,,,,,
,Speed Limit,25,,,,,,,,,
,,,,,,,,,,,
,Vehicle,Time,Speed,,Vehicle,Time,Speed,,Vehicle,Time,Speed
,1,5:55,49,,1,6:03,32,,1,6:10,42
,2,5:55,31,,2,6:03,33,,2,6:11,39
,3,5:55,35,,3,6:04,32,,3,6:11,33
,4,5:55,28,,4,6:04,33,,4,6:11,37
,5,5:55,30,,5,6:04,36,,5,6:11,42
,6,5:56,25,,6,6:04,36,,6,6:12,25
,7,5:56,31,,7,6:04,27,,7,6:12,31
,8,5:56,36,,8,6:04,29,,8,6:12,38
,9,5:56,31,,9,6:04,41,,9,6:12,34
,10,5:56,33,,10,6:04,59,,10,6:12,35
,11,5:56,28,,11,6:06,28,,11,6:12,51
,12,5:56,49,,12,6:06,28,,12,6:12,36
,13,5:56,35,,13,6:06,32,,13,6:12,48
,14,5:57,40,,14,6:06,30,,14,6:12,37
,15,5:57,29,,15,6:06,47,,15,6:13,42
,16,5:57,30,,16,6:06,39,,16,6:13,26
,17,5:57,35,,17,6:07,29,,17,6:13,39
,18,5:57,27,,18,6:07,50,,18,6:13,46
,19,5:58,25,,19,6:07,51,,19,6:13,43
,20,5:58,21,,20,6:07,42,,20,6:13,32
,21,5:58,37,,21,6:07,48,,21,6:14,40
,22,5:58,33,,22,6:07,57,,22,6:14,34
,23,5:58,36,,23,6:07,52,,23,6:14,29
,24,5:58,42,,24,6:07,50,,24,6:14,28
,25,5:58,48,,25,6:07,55,,25,6:14,25
,26,5:59,36,,26,6:07,48,,26,6:14,47
,27,5:59,37,,27,6:07,51,,27,6:14,41
,28,5:59,41,,28,6:07,41,,28,6:14,42
,29,5:59,48,,29,6:07,23,,29,6:14,37
,30,5:59,28,,30,6:07,35,,30,6:14,40
,31,5:59,29,,31,6:07,36,,31,6:15,42
,32,5:59,37,,32,6:07,33,,32,6:15,27
,33,5:59,41,,33,6:07,42,,33,6:15,36
,34,5:59,53,,34,6:07,40,,34,6:15,28
,35,6:00,37,,35,6:08,36,,35,6:15,31
,36,6:00,35,,36,6:08,32,,36,6:15,62
,37,6:00,30,,37,6:08,40,,37,6:17,33
,38,6:00,29,,38,6:08,36,,38,6:17,30
,39,6:00,25,,39,6:08,35,,39,6:17,44
,40,6:00,32,,40,6:08,21,,40,6:17,51
,41,6:00,33,,41,6:08,39,,41,6:17,45
,42,6:02,30,,42,6:08,29,,42,6:18,41
,43,6:02,30,,43,6:08,35,,43,6:18,43
,44,6:02,30,,44,6:08,43,,44,6:18,40
,45,6:02,42,,45,6:09,31,,45,6:18,34
,46,6:02,30,,46,6:09,36,,46,6:18,39
,47,6:03,33,,47,6:09,42,,47,6:18,41
,48,6:03,38,,48,6:09,40,,48,6:18,31
,49,6:03,35,,49,6:10,39,,49,6:19,35
,50,6:03,45,,50,6:10,40,,50,6:20,39
,,,,,,,,,,,
,,,,,,,,,,,
,Vehicle,Time,Speed,,Vehicle,Time,Speed,,Vehicle,Time,Speed
,1,6:20,41,,1,6:27,43,,1,6:36,28
,2,6:20,41,,2,6:27,31,,2,6:36,26
,3,6:20,39,,3,6:27,35,,3,6:36,30
,4,6:20,50,,4,6:29,28,,4,6:36,31
,5,6:20,51,,5,6:29,27,,5,6:36,28
,6,6:20,42,,6,6:29,28,,6,6:36,26
,7,6:20,47,,7,6:29,35,,7,6:36,30
,8,6:20,45,,8,6:29,29,,8,6:36,31
,9,6:20,40,,9,6:29,38,,9,6:36,28
,10,6:21,31,,10,6:29,40,,10,6:36,30
,11,6:21,33,,11,6:29,45,,11,6:36,30
,12,6:22,23,,12,6:29,38,,12,6:37,49
,13,6:22,35,,13,6:29,37,,13,6:37,42
,14,6:22,27,,14,6:29,33,,14,6:37,42
,15,6:22,31,,15,6:30,26,,15,6:37,31
,16,6:22,46,,16,6:30,24,,16,6:37,36
,17,6:22,30,,17,6:30,26,,17,6:37,32
,18,6:22,36,,18,6:30,28,,18,6:38,22
,19,6:22,40,,19,6:30,31,,19,6:38,32
,20,6:22,35,SBS,20,6:30,24,,20,6:38,37
,21,6:22,36,,21,6:31,27,,21,6:38,38
,22,6:22,34,,22,6:31,51,,22,6:38,44
,23,6:22,36,,23,6:31,41,,23,6:38,44
,24,6:24,22,,24,6:31,40,,24,6:38,61
,25,6:24,21,,25,6:31,41,,25,6:38,36
,26,6:24,24,,26,6:31,37,,26,6:38,62
,27,6:24,29,,27,6:31,31,,27,6:38,54
,28,6:24,34,,28,6:31,32,,28,6:39,39
,29,6:24,38,,29,6:31,39,,29,6:39,42
,30,6:24,30,,30,6:31,26,,30,6:39,41
,31,6:24,45,,31,6:31,27,,31,6:39,27
,32,6:24,24,,32,6:31,26,,32,6:40,40
,33,6:24,25,,33,6:33,37,,33,6:40,26
,34,6:24,46,,34,6:33,25,,34,6:40,28
,35,6:25,42,,35,6:33,43,,35,6:40,29
,36,6:25,37,,36,6:33,31,,36,6:40,24
,37,6:25,29,,37,6:33,36,,37,6:40,34
,38,6:25,30,,38,6:33,48,,38,6:40,47
,39,6:25,26,,39,6:33,51,,39,6:40,33
,40,6:26,24,,40,6:33,31,,40,6:40,39
,41,6:26,30,,41,6:33,45,,41,6:40,20
,42,6:26,33,,42,6:35,35,,42,6:40,38
,43,6:26,40,,43,6:35,33,,43,6:40,40
,44,6:26,30,,44,6:35,36,,44,6:40,32
,45,6:26,37,,45,6:35,35,,45,6:41,36
,46,6:26,36,,46,6:35,37,,46,6:42,27
,47,6:26,30,,47,6:35,32,,47,6:42,25
,48,6:26,42,,48,6:35,34,,48,6:42,27
,49,6:27,29,,49,6:35,34,,49,6:42,24
,50,6:27,46,,50,6:35,45,,50,6:42,31
,,,,,,,,,,,
,,,,,,,,,,,
,Vehicle,Time,,,Vehicle,Time,Speed,,Vehicle,Time,Speed
,1,6:42,29,,1,6:49,36,,1,6:55,39
,2,6:42,24,,2,6:49,34,,2,6:55,25
,3,6:42,27,,3,6:49,39,,3,6:55,26
,4,6:42,32,,4,6:49,40,,4,6:55,34
,5,6:42,35,,5,6:49,26,,5,6:55,38
,6,6:42,25,,6,6:49,21,,6,6:55,39
,7,6:43,27,,7,6:49,28,,7,6:55,40
,8,6:43,32,,8,6:49,26,,8,6:55,33
,9,6:43,39,,9,6:49,35,,9,6:55,33
,10,6:43,40,,10,6:49,28,,10,6:55,37
,11,6:44,27,,11,6:49,33,,11,6:55,30
,12,6:44,26,,12,6:51,35,,12,6:57,24
,13,6:44,32,,13,6:51,33,,13,6:57,35
,14,6:44,35,,14,6:51,28,,14,6:57,29
,15,6:44,32,,15,6:51,29,,15,6:57,30
,16,6:44,34,,16,6:51,37,,16,6:57,31
,17,6:44,40,,17,6:51,20,,17,6:57,29
,18,6:44,61,,18,6:52,26,,18,6:57,24
,19,6:45,39,,19,6:52,22,,19,6:57,25
,20,6:45,40,,20,6:52,33,,20,6:57,24
,21,6:45,35,,21,6:52,32,,21,6:57,28
,22,6:45,43,,22,6:52,41,,22,6:57,30
,23,6:45,38,,23,6:52,38,,23,6:57,27
,24,6:45,34,,24,6:52,46,,24,6:59,24
,25,6:45,35,,25,6:52,32,,25,6:59,27
,26,6:45,37,,26,6:52,45,,26,6:59,23
,27,6:46,25,,27,6:52,45,,27,6:59,28
,28,6:46,23,,28,6:53,45,,28,6:59,22
,29,6:46,24,,29,6:53,45,,29,6:59,25
,30,6:46,23,,30,6:53,49,,30,6:59,28
,31,6:46,25,,31,6:54,33,,31,6:59,27
,32,6:46,35,,32,6:54,36,,32,6:59,32
,33,6:46,31,,33,6:54,38,,33,6:59,30
,34,6:46,30,,34,6:54,34,,34,,
,35,6:46,25,,35,6:54,36,,35,,
,36,6:46,32,,36,6:54,20,,36,,
,37,6:46,24,,37,6:54,26,,37,,
,38,6:46,26,,38,6:54,25,,38,,
,39,6:46,31,,39,6:54,29,,39,,
,40,6:46,29,,40,6:54,31,,40,,
,41,6:46,29,,41,6:54,34,,41,,
,42,6:46,23,,42,6:54,38,,42,,
,43,6:48,27,,43,6:54,43,,43,,
,44,6:48,29,,44,6:55,30,,44,,
,45,6:48,40,,45,6:55,26,,45,,
,46,6:48,32,,46,6:55,25,,46,,
,47,6:48,34,,47,6:55,40,,47,,
,48,6:48,33,,48,6:55,37,,48,,
,49,6:48,48,,49,6:55,25,,49,,
,50,6:48,35,,50,6:55,42,,50,,
